,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 101, San Francisco County, California",51667,48125,21090,-,61165,-,-,80750,40455,70650,79545,77109,41176,19135
1,"Census Tract 102, San Francisco County, California",105189,112894,47250,-,75595,-,11736,86875,68000,107348,71863,99516,106949,95208
2,"Census Tract 103, San Francisco County, California",90547,102537,-,-,51500,-,-,-,100089,104044,74283,107551,64653,86364
3,"Census Tract 104, San Francisco County, California",73972,78867,-,-,72829,-,43343,75333,73158,79414,15446,100200,86719,36307
4,"Census Tract 105, San Francisco County, California",115574,124293,69904,-,29697,-,"250,000+",86161,7379,124375,13083,122880,139423,86029
5,"Census Tract 106, San Francisco County, California",29002,90217,-,-,21510,-,35900,28177,28464,92473,7167,86058,20291,18635
6,"Census Tract 107, San Francisco County, California",20206,74712,91513,-,16176,-,"2,500-",-,16536,95673,34833,51848,25850,12323
7,"Census Tract 108, San Francisco County, California",72173,88313,-,81917,47796,-,-,128571,59600,88813,28542,120417,63492,24712
8,"Census Tract 109, San Francisco County, California",110768,125795,-,-,80403,-,54779,108158,59851,124750,66350,130833,99542,15804
9,"Census Tract 110, San Francisco County, California",61250,87649,-,-,43101,-,105943,16607,105205,88720,86250,95093,43947,21156
10,"Census Tract 111, San Francisco County, California",62300,77981,58980,-,60783,-,40278,34148,42153,75735,22171,83571,59923,30303
11,"Census Tract 112, San Francisco County, California",77350,126146,-,-,33191,-,-,17344,80699,130547,120521,151279,53021,55556
12,"Census Tract 113, San Francisco County, California",21144,100156,-,48269,16703,-,-,98347,17083,101094,30139,51989,36625,13651
13,"Census Tract 117, San Francisco County, California",30455,56500,2589,-,25404,-,-,35868,11719,58302,10234,36833,35144,11385
14,"Census Tract 118, San Francisco County, California",25459,105769,-,-,23819,-,-,-,-,105769,"2,500-",36645,26382,13750
15,"Census Tract 119.01, San Francisco County, California",56604,75192,51467,-,52800,-,-,-,45750,81053,34018,148315,52391,40833
16,"Census Tract 119.02, San Francisco County, California",47140,49250,-,-,34338,-,100370,105982,55464,46760,47000,57154,33852,25375
17,"Census Tract 120, San Francisco County, California",37037,41061,41061,-,28214,-,36167,21280,42699,41038,20829,58438,36587,35469
18,"Census Tract 121, San Francisco County, California",41955,49948,39432,-,32152,-,-,54670,52542,49861,"2,500-",55000,31792,33194
19,"Census Tract 122.01, San Francisco County, California",31504,33258,36400,-,24973,-,32295,6891,31133,36250,7426,44643,25735,28375
20,"Census Tract 122.02, San Francisco County, California",22699,20089,34107,-,38404,-,-,14421,31696,17703,38167,33571,19628,11622
21,"Census Tract 123.01, San Francisco County, California",11655,13542,9196,-,11368,-,12321,10729,20057,13452,7434,20854,13661,10799
22,"Census Tract 123.02, San Francisco County, California",25813,34591,17316,19712,22545,-,50096,-,26250,42833,25703,34119,18784,24435
