,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 302.01, San Francisco County, California",91387,94659,-,-,73421,-,-,69602,88750,94943,68949,111932,88571,53375
1,"Census Tract 302.02, San Francisco County, California",105457,98958,-,-,134238,-,-,88254,112625,96067,-,114750,91917,56719
2,"Census Tract 303.01, San Francisco County, California",130234,126797,156172,-,102105,-,-,150278,95833,127148,110556,144661,142350,54896
3,"Census Tract 303.02, San Francisco County, California",133984,138654,-,-,134297,-,-,-,155729,139135,-,153250,146207,93854
4,"Census Tract 304, San Francisco County, California",154769,201506,-,-,122969,-,-,-,200202,202051,20179,195000,188636,87258
5,"Census Tract 305, San Francisco County, California",109352,118750,-,-,120956,-,-,-,69844,129485,-,155208,141750,28462
6,"Census Tract 306, San Francisco County, California",158421,168333,-,-,165938,-,-,153929,137847,170962,-,223393,169417,95441
7,"Census Tract 307, San Francisco County, California",126875,143750,-,-,122576,-,-,130439,48224,160909,-,192019,127153,77143
8,"Census Tract 308, San Francisco County, California",134481,142250,-,-,133382,-,-,178393,-,135347,-,146222,200366,110685
9,"Census Tract 309, San Francisco County, California",157820,162865,-,-,158333,-,-,-,107978,180000,-,169283,168897,116250
10,"Census Tract 310, San Francisco County, California",128517,138125,-,-,125417,-,-,-,127250,139167,-,166667,151250,71504
11,"Census Tract 311, San Francisco County, California",110417,104808,79651,-,122940,-,57159,156290,69792,110878,-,146086,104135,79219
12,"Census Tract 312.01, San Francisco County, California",80462,98864,67269,-,82279,-,48516,-,59848,109143,38600,90815,90167,48929
13,"Census Tract 312.02, San Francisco County, California",73839,123542,80804,-,72664,-,52000,51328,67708,122917,-,75284,73839,71406
14,"Census Tract 313.01, San Francisco County, California",93750,117273,41250,-,89875,-,-,150114,101591,120139,-,111364,89125,45227
15,"Census Tract 313.02, San Francisco County, California",67438,81429,53190,-,68092,-,59458,80893,65809,82969,-,81050,83594,52632
16,"Census Tract 314, San Francisco County, California",59487,61618,25292,-,65896,-,40750,110208,42208,60833,59318,60938,66591,43092
17,"Census Tract 326.01, San Francisco County, California",95854,99402,-,-,91000,-,-,74394,97115,99783,51071,111029,104375,64219
18,"Census Tract 326.02, San Francisco County, California",80357,64375,-,-,88750,-,144167,156250,-,66806,-,98199,116094,50847
19,"Census Tract 327, San Francisco County, California",103648,131250,-,-,87618,-,-,115417,-,135511,"2,500-",117957,112000,60066
20,"Census Tract 328.01, San Francisco County, California",79764,85250,-,-,84500,-,-,43750,78370,86625,-,127104,77995,55855
21,"Census Tract 328.02, San Francisco County, California",84946,73646,-,-,89306,-,-,-,-,75625,-,123527,89236,50990
22,"Census Tract 329.01, San Francisco County, California",83169,106429,-,-,79851,-,-,-,64853,111458,48074,182674,116607,62500
23,"Census Tract 329.02, San Francisco County, California",96208,126964,-,-,92500,-,-,90172,152188,125357,-,130781,106080,59167
24,"Census Tract 330, San Francisco County, California",83896,77902,-,-,94185,-,-,88125,63146,80875,-,95882,94712,44472
25,"Census Tract 331, San Francisco County, California",108018,78438,-,-,126813,-,-,-,-,70673,-,135972,155268,66086
26,"Census Tract 332.01, San Francisco County, California",22895,30700,47969,-,22537,-,-,-,12857,31364,-,34615,30625,24375
27,"Census Tract 332.03, San Francisco County, California",50946,50270,74023,-,33289,-,86524,66354,79698,47125,-,47768,73398,28125
28,"Census Tract 332.04, San Francisco County, California",44922,52679,55139,-,40724,-,-,-,61500,41544,-,94569,68750,29260
29,"Census Tract 351, San Francisco County, California",107482,120350,-,-,103750,-,-,-,135956,121000,-,136026,122000,50893
30,"Census Tract 352.01, San Francisco County, California",84817,89792,-,-,84688,-,-,-,-,100139,64271,106914,100033,43875
31,"Census Tract 352.02, San Francisco County, California",78542,87839,-,-,71016,-,-,99028,-,88854,-,96544,66656,41528
32,"Census Tract 353, San Francisco County, California",80352,81250,-,-,84931,-,-,-,-,81543,-,115547,121471,56658
33,"Census Tract 354, San Francisco County, California",87598,71875,-,-,80313,-,-,-,-,71875,-,123472,96899,73092
34,"Census Tract 401, San Francisco County, California",93875,113333,-,-,61292,-,-,-,130179,111932,-,117778,68875,48194
35,"Census Tract 402, San Francisco County, California",83867,117966,-,-,64250,-,-,-,70595,119661,41192,116327,80082,47721
36,"Census Tract 426.01, San Francisco County, California",70100,83170,-,-,50909,-,-,-,-,83750,-,84565,70938,42969
37,"Census Tract 426.02, San Francisco County, California",104943,125375,-,-,87401,-,-,51667,83864,128542,-,142688,107639,68992
38,"Census Tract 427, San Francisco County, California",56765,64712,-,-,51523,-,-,-,-,67946,-,78821,60508,30988
39,"Census Tract 428, San Francisco County, California",181125,183182,-,-,139375,-,-,232500,-,183977,-,163333,"250,000+",109000
40,"Census Tract 451, San Francisco County, California",91206,98425,-,-,74069,-,-,-,-,109779,"2,500-",108162,100776,30563
41,"Census Tract 452, San Francisco County, California",87664,110721,-,-,39904,-,-,-,108750,115329,-,105328,97775,39038
42,"Census Tract 476, San Francisco County, California",84625,98674,-,-,77467,-,-,-,106202,97727,52692,105761,86000,70347
43,"Census Tract 477.01, San Francisco County, California",72981,83583,-,-,65781,-,-,-,-,84063,107667,94551,82854,34808
44,"Census Tract 477.02, San Francisco County, California",85769,85625,-,-,79722,-,-,218500,98929,73083,45833,117976,92545,53938
45,"Census Tract 101, San Francisco County, California",59519,82404,10966,-,48036,-,-,-,-,92500,-,95089,56635,18628
46,"Census Tract 102, San Francisco County, California",110536,114632,-,-,101920,-,-,106875,-,114338,-,136823,160556,57232
47,"Census Tract 103, San Francisco County, California",99120,116927,-,-,38533,-,-,-,125750,117153,78208,131845,51105,70905
48,"Census Tract 104, San Francisco County, California",102986,103657,-,-,96833,-,-,205512,100598,105060,131250,128679,96794,87917
49,"Census Tract 105, San Francisco County, California",119750,135278,220288,-,100417,-,-,-,-,134792,"2,500-",116250,166583,73194
50,"Census Tract 106, San Francisco County, California",36949,85054,-,-,26571,-,35458,-,-,84028,6887,109250,31042,19028
51,"Census Tract 107, San Francisco County, California",22425,86919,-,-,19371,-,-,-,-,86776,-,51750,21528,16974
52,"Census Tract 108, San Francisco County, California",94875,119507,-,-,55083,-,-,88750,121953,114674,140250,117880,78611,45848
53,"Census Tract 109, San Francisco County, California",117181,141250,-,-,49881,-,-,-,-,142625,88482,165219,86188,51316
54,"Census Tract 110, San Francisco County, California",115100,161442,70441,-,49888,-,-,-,242564,156849,88029,161250,-,30625
55,"Census Tract 111, San Francisco County, California",84442,98654,164038,-,35053,-,-,91410,140083,93385,38611,112105,83958,19792
56,"Census Tract 112, San Francisco County, California",100139,116219,"250,000+",-,33194,-,-,103438,-,115750,91375,147500,46705,58462
57,"Census Tract 113, San Francisco County, California",24426,77331,-,-,19464,-,-,81250,-,77331,180724,78750,44732,15593
58,"Census Tract 117, San Francisco County, California",50223,70682,-,-,45625,-,-,-,48398,87353,-,69688,-,-
59,"Census Tract 118, San Francisco County, California",20800,90375,-,-,19513,-,-,48750,-,90250,-,30694,23229,14559
60,"Census Tract 119.01, San Francisco County, California",72364,83295,-,-,66528,-,-,-,71786,79135,-,120991,64000,43095
61,"Census Tract 119.02, San Francisco County, California",74077,66327,35288,-,101378,-,65595,-,56616,67368,60500,98875,-,23073
62,"Census Tract 120, San Francisco County, California",37219,48365,21393,-,25238,-,50278,-,45500,49423,20263,52063,35043,19158
63,"Census Tract 121, San Francisco County, California",53595,66094,-,-,51369,-,-,55966,25246,77891,44615,62292,70337,29176
64,"Census Tract 122.01, San Francisco County, California",43698,43182,-,-,46667,-,63229,35913,40128,51630,13400,66360,21861,36215
65,"Census Tract 122.02, San Francisco County, California",31202,37380,16111,-,27969,-,43438,-,50778,35986,"2,500-",55250,26053,17023
66,"Census Tract 123.01, San Francisco County, California",15272,16281,28684,-,15375,-,8670,-,-,13449,-,24219,14336,11714
67,"Census Tract 123.02, San Francisco County, California",39081,54464,53681,-,35703,-,65156,13681,53534,60347,50962,63471,25938,28243
68,"Census Tract 124.01, San Francisco County, California",18979,21575,10750,-,30057,-,30050,15804,26903,20274,13750,31385,12961,15465
