Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 101, San Francisco County, California",1400000US06075010100,3967,251,1955,291,135,126,0,12,1549,195,0,12,189,180,139,112,52,82,87,80
"Census Tract 102, San Francisco County, California",1400000US06075010200,4363,374,3677,340,34,48,0,12,488,144,9,17,57,90,98,76,0,12,98,76
"Census Tract 103, San Francisco County, California",1400000US06075010300,4377,397,2708,313,0,12,0,12,1445,307,0,12,120,133,104,76,0,12,104,76
"Census Tract 104, San Francisco County, California",1400000US06075010400,4645,535,2772,385,1,4,4,8,1320,281,0,12,71,111,477,214,182,163,295,156
"Census Tract 105, San Francisco County, California",1400000US06075010500,2691,320,1487,206,243,223,0,12,659,203,0,12,47,56,255,143,32,43,223,134
"Census Tract 106, San Francisco County, California",1400000US06075010600,3505,365,1210,177,57,68,0,12,2161,347,0,12,23,26,54,32,12,19,42,31
"Census Tract 107, San Francisco County, California",1400000US06075010700,5502,479,1118,332,0,17,23,30,4164,385,0,17,181,212,16,26,0,17,16,26
"Census Tract 108, San Francisco County, California",1400000US06075010800,4927,450,2744,454,0,12,0,12,1827,364,0,12,157,168,199,104,18,29,181,104
"Census Tract 109, San Francisco County, California",1400000US06075010900,4519,302,3166,250,69,60,0,12,1135,256,0,12,43,48,106,92,0,12,106,92
"Census Tract 110, San Francisco County, California",1400000US06075011000,4989,512,2687,335,88,67,0,12,2066,317,0,12,115,114,33,37,15,24,18,29
"Census Tract 111, San Francisco County, California",1400000US06075011100,4844,320,3291,413,259,170,0,12,1054,254,0,12,98,71,142,96,20,31,122,93
"Census Tract 112, San Francisco County, California",1400000US06075011200,3378,252,2019,222,130,67,5,8,1105,142,0,12,25,28,94,48,0,12,94,48
"Census Tract 113, San Francisco County, California",1400000US06075011300,2907,255,610,133,68,74,19,30,2147,261,0,12,8,14,55,52,0,12,55,52
"Census Tract 117, San Francisco County, California",1400000US06075011700,1704,188,601,117,73,40,0,12,819,161,0,12,151,99,60,40,25,30,35,24
"Census Tract 118, San Francisco County, California",1400000US06075011800,1558,172,183,90,1,5,10,12,1358,144,0,12,0,12,6,9,0,12,6,9
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2613,172,1498,149,39,42,34,50,817,143,0,12,137,89,88,48,22,24,66,42
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2825,264,1537,189,75,53,0,12,877,177,17,26,192,125,127,68,21,25,106,60
"Census Tract 120, San Francisco County, California",1400000US06075012000,3951,418,1730,321,189,137,72,102,1449,341,0,12,226,204,285,147,41,36,244,134
"Census Tract 121, San Francisco County, California",1400000US06075012100,4062,361,2445,343,133,72,13,20,1086,207,0,12,159,81,226,123,59,52,167,113
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4710,467,2019,323,359,165,0,12,992,264,0,12,911,508,429,220,156,142,273,166
