Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B153121,,11/09/2015,5000.00,,,1,2375 O’FARRELL Street,,,,,,,,,,,,,,,,,,,
B160603,02/11/2016,,,,,,601 O’farrell Street,,,,,,,,,,,,,,,,,,,
B162395,07/19/2016,,,,,,445 O’farrell Street,,,,,,,,,,,,,,,,,,,
B190519,03/15/2019,,,,,,1795 O’Farrell Street,,,,,,,,,,,,,,,,,,,
B172362,09/13/2017,,,,,,1330 Union Street,94109,2,Russian Hill,POINT (-122.42123667754045 37.79896367700326),100,107,4,6,32,32,9,1,13,28858,1,,,,107
B160600,02/10/2016,,,,,,300 Buchanan Street,94102,5,Hayes Valley,POINT (-122.42710650032049 37.77255335488871),100,26,4,11,9,10,9,11,7,28852,1,,,,26
B161536,05/05/2016,,,,,,139 Albion Street,94110,8,Mission,POINT (-122.42273683024945 37.76423321969258),100,37,3,5,20,19,4,5,8,28859,2,,,,37
B151057,04/30/2015,06/25/2015,10000.00,,,2,1930 Sacramento Street,94109,2,Pacific Heights,POINT (-122.42470687688466 37.791074760957926),100,102,4,6,30,27,9,1,13,28858,1,,,,102
B172456,09/26/2017,06/01/2018,40000.00,,,3,787 39th Avenue,94121,1,Outer Richmond,POINT (-122.49942090367396 37.774023559837595),100,8,8,4,29,26,6,2,11,55,1,,,,8
B182251,07/20/2018,,,,,,1330 Union Street,94109,2,Russian Hill,POINT (-122.42123667754045 37.79896367700326),100,107,4,6,32,32,9,1,13,28858,1,,,,107
B163454,10/28/2016,10/28/2016,45000.00,,true,2,1141 Church Street,94114,8,Noe Valley,POINT (-122.42746497465095 37.75264244257747),100,52,3,5,22,22,4,5,2,28862,1,,,,52
B170765,03/24/2017,08/22/2017,34000.00,,true,1,2625 Lyon Street,94129,2,Presidio,POINT (-122.44684696976691 37.79494786622207),100,14,4,6,27,30,,1,11,57,1,,,,14
B162200,06/27/2016,,,,,,32 BYXBEE Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.46974872142276 37.71487367070007),100,65,10,1,24,24,8,6,9,64,2,,,,65
B181621,05/23/2018,08/16/2018,40000.00,,,3,20 Entrada Court,94127,7,West of Twin Peaks,POINT (-122.46818409777406 37.72495596161786),100,67,10,8,41,40,8,4,9,59,1,,,,67
B180903,03/20/2018,06/26/2018,7000.00,,,1,550 Flood Avenue,94112,7,West of Twin Peaks,POINT (-122.45232535767424 37.729926819882735),100,95,9,8,41,40,7,4,9,28861,1,,,,95
B191650,,07/05/2019,20000.00,,,1,1718 Anza Street,94118,1,Inner Richmond,POINT (-122.46652126234996 37.7790439574543),100,5,8,4,11,11,6,2,11,54,1,,,,5
B193054,11/18/2019,,,,,,2130 22nd Avenue,94116,4,Sunset/Parkside,POINT (-122.4791988227871 37.747918765264714),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170549,03/03/2017,09/20/2017,45000.00,,,2,2731 41st Avenue,94116,4,Sunset/Parkside,POINT (-122.49890745704008 37.7357943205707),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170233,02/03/2017,,,,,,95 Grand View Avenue,94114,8,Twin Peaks,POINT (-122.44014419222577 37.75653537296975),100,115,3,5,38,38,4,5,2,28862,1,,,,115
