RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20
268384,182,Outer Sunset,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,285619,284756,284403,283511,282736,282000,281310,281494,282006,283383,284761,286733,288824,291457,293626,296136,299053,302485,306359,309805,313247,315987,319267,322652,326447,330132,334212,338196,342354,346680,351141,354929,358813,362348,365587,367540,369410,371546,374142,376496,378921,381230,383802,387050,390736,395233,400644,407100,413774,419994,426619,434165,442172,450775,459344,468238,476389,485784,495666,507893,519224,529558,535441,540333,543420,546302,546950,546148,546580,545118,543839,538957,536696,534587,537360,539854,546004,552670,561475,571467,577978,583857,586439,590779,592292,596635,600318,605408,604947,603927,604636,607630,611966,615802,623214,631610,644516,655022,664985,672637,683437,694935,705700,714192,725413,738813,751740,762720,770473,782263,791510,801176,807678,813832,818856,822275,826397,831199,832903,834814,834137,829066,823704,820056,823061,826866,829285,830410,828395,823776,821195,820653,822248,827607,833474,841519,842063,842479,841349,843208,844362,844425,844312,837624,832351,822576,819702,813572,811979,802627,793272,785216,781777,778823,773714,767397,759630,749632,739554,729611,722536,720963,722641,717162,708073,702970,702511,711488,718154,728436,728329,728718,725543,725534,720324,720984,720746,718790,712850,700871,692618,683233,679816,676695,672079,663579,658426,654791,654053,652935,652874,653921,651908,655032,659720,664403,669059,675443,687244,698517,710483,722208,732782,744872,761617,768114,775551,783528,801446,820546,832393,844372,850832,855524,859237,865259,871630,887009,899929,912930,917553,918166,919610,916474,916802,920664,935571,946987,954987,966303,980833,997119,1005469,1020421,1039887,1065668,1090716,1114193,1122304,1134917,1149931,1158675,1159470,1150593,1153718,1150948,1146829,1140291,1141295,1145079,1157863,1165056,1167918,1163438,1161355,1171525,1186473,1199724,1211688,1222921,1238039,1247443,1260461,1269218,1281733,1298471,1324532,1345794,1356618,1376432,1388609,1402865,1400157,1399772,1391437,1380031,1378060,1374978,1370503,1361263,1368342,1371232,1382664,1383830,1393495,1402709,1412746,1426768,1431108,1434820,1433561,1434922,1426251
274552,262,Mission,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,254422,252899,252570,251827,250916,249152,247325,248380,251091,253945,255445,256406,257678,259938,262192,264335,267739,272847,278792,280812,281073,281473,283114,284414,285980,288762,292407,295867,299268,302156,304301,306769,309537,313202,320041,330081,339866,347554,351131,353799,354746,358842,365460,373499,380949,387436,392740,398949,405870,412956,423255,436639,452647,465674,476791,488756,501957,516559,530956,542762,552238,559995,565777,568837,569360,567000,562351,555467,549847,543854,539622,535284,533216,530110,528218,525610,528140,536491,547513,559015,565640,571621,571618,572105,571803,577146,583362,590645,588577,583956,578544,577670,578374,579572,585355,591508,599773,606054,612144,616861,626994,637288,649753,657739,668848,681532,694709,708777,720784,735881,747106,761128,771537,782011,791551,800706,811022,819437,825090,829114,830511,826963,825096,822293,824813,826968,825959,826126,824137,822841,821559,821591,822909,828541,832297,838721,839496,843625,847544,851221,853895,852962,855391,852078,850701,842365,840322,835344,835965,827055,817599,808004,800657,794757,785862,776465,768136,757597,749981,739850,730788,726488,726460,721711,713290,709107,709230,718391,721564,730014,729067,733452,734853,736658,731756,733578,736696,737775,733312,723442,719366,714633,715178,713055,710017,703733,700976,697672,698365,700876,706466,712524,713935,719119,722780,727942,732159,743147,760727,783296,801721,814753,820807,828565,845750,854396,868962,881270,905944,927574,940152,947597,954204,964162,977983,995806,1008463,1029054,1043012,1061738,1071723,1075972,1082015,1083437,1088478,1094036,1111290,1121395,1128175,1138802,1153280,1168498,1171110,1184686,1205229,1224241,1240626,1251539,1252849,1256502,1268590,1276452,1277425,1262002,1259669,1248929,1234751,1222676,1222100,1230401,1245217,1254558,1257255,1250447,1246876,1254691,1270335,1288706,1301241,1315471,1318832,1323943,1327854,1340337,1349401,1362580,1382060,1405896,1416108,1428428,1451610,1482195,1504890,1510902,1509179,1501810,1505527,1509087,1512943,1509265,1517140,1521839,1522064,1510216,1507399,1513552,1523646,1533186,1535873,1537398,1533682,1530325,1522244
268383,401,Outer Richmond,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,367063,365802,365200,363505,362526,362138,362507,363302,363947,365757,367811,369869,372179,375067,378514,381718,384705,387427,389797,392377,395514,397625,400642,404913,410127,415098,418990,424779,430933,437475,443761,449555,456358,462842,468070,471623,473914,478011,482991,487559,491450,495161,499993,505791,511203,518033,525429,534478,543818,551577,559387,567285,575671,586117,596414,607367,615980,624575,636051,649756,662790,672734,679204,685948,691621,693754,692469,689610,690080,690374,688188,681867,678397,677584,680802,681347,685160,690592,699797,709996,717542,724559,728486,734412,736176,741589,746628,754107,756225,759278,763182,768204,771459,772310,778218,785659,800492,810468,821483,830763,842900,854837,865788,876318,889690,905161,918373,930889,938908,952948,958813,966248,969915,974578,978331,980254,986939,996096,1001888,1003709,1000183,992302,988043,982676,984545,986887,988837,987751,981048,973540,968410,967979,969196,976064,983937,996206,1000764,1002419,1002535,1005412,1009716,1008651,1010001,1004431,1002574,992017,986713,980537,978249,969251,955948,947635,940108,934095,922607,911788,902827,891528,881533,866020,856467,852869,856729,849581,840389,835975,837727,847005,850061,857470,854557,855987,852934,852049,844555,843699,842599,838768,831767,819465,811325,803323,800628,798258,791690,783043,779676,779225,780500,781441,783826,786980,786981,791332,796026,799123,802063,807224,814817,822888,834856,850142,860866,870549,886035,892518,900784,909324,931965,956593,976133,994550,1003492,1007696,1012107,1026831,1043041,1069342,1092541,1115391,1127086,1129153,1134702,1134177,1142970,1154466,1179958,1191766,1193795,1196123,1208262,1227451,1236795,1256414,1275409,1298391,1313174,1323405,1322423,1331618,1353392,1370778,1375288,1365811,1369721,1366422,1366461,1366926,1379122,1393013,1411289,1420534,1421048,1410234,1400685,1402743,1413544,1426036,1433038,1438307,1446326,1458018,1468875,1477946,1486305,1507269,1537660,1566493,1579802,1598655,1608298,1622124,1615885,1613436,1604399,1594592,1592831,1588626,1584848,1571164,1574406,1575836,1591860,1593640,1606069,1612446,1621952,1633012,1638410,1640708,1637269,1639253,1632355
268219,481,Inner Richmond,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,417383,416839,416864,417987,418626,418313,416860,417365,419472,424258,428484,433182,436931,441974,446871,449129,452552,457036,465401,470841,475354,475503,477726,480757,486068,490920,496037,504084,512800,523395,530245,537999,543141,549794,556008,562197,569171,575638,581701,585702,589692,594158,601674,611316,625055,640296,654373,664359,672655,681609,693109,704977,717644,730770,744535,755907,765996,776117,788895,806550,822321,834610,840888,848382,852478,851466,847864,846098,844134,840417,836201,830339,827887,826368,829932,832273,840016,855982,870545,883369,890813,899903,905116,911606,911014,915016,916952,921983,919689,912656,909238,910877,914774,917257,922409,928095,943300,954641,966677,976993,991258,1009202,1026684,1040463,1057319,1075024,1095950,1118393,1140300,1167066,1186764,1201039,1214677,1222971,1234098,1238248,1251882,1269657,1281424,1284900,1275465,1260688,1253204,1249691,1244753,1242707,1234542,1240997,1234661,1225712,1213872,1209276,1212608,1225051,1235657,1252585,1266633,1279552,1294635,1296195,1300070,1295161,1299808,1299121,1298142,1287941,1279420,1268799,1266491,1256968,1246096,1239454,1240724,1242175,1234491,1223810,1218137,1210156,1204614,1188554,1174506,1163710,1153945,1138447,1109545,1092991,1082155,1080649,1071356,1063920,1052738,1047282,1036418,1030869,1022266,1020088,1022170,1024406,1025473,1020187,1014780,1007804,1003369,1003271,1004682,997983,994869,991213,993982,991208,989105,989970,992406,1006730,1019658,1026678,1027843,1039095,1056548,1080218,1098890,1115572,1124261,1135069,1151576,1157443,1168007,1181417,1210132,1235761,1252950,1259224,1264159,1271824,1294154,1315583,1337644,1354412,1370486,1387901,1400280,1406179,1414903,1425900,1437820,1447886,1462733,1474860,1477002,1492501,1510618,1537116,1546568,1566010,1586005,1610544,1632768,1661328,1671102,1689190,1711902,1727462,1725405,1704423,1706059,1699515,1695120,1679844,1679986,1674100,1678878,1675542,1678543,1680388,1685833,1703251,1719498,1739292,1745734,1764111,1780648,1806004,1833489,1856420,1871784,1880494,1908390,1931595,1944969,1960769,2002348,2044931,2078251,2093621,2103922,2100026,2099886,2098643,2101791,2096949,2117314,2129340,2136691,2123503,2115074,2115484,2114439,2125516,2133267,2143128,2136407,2133132,2112927
268396,537,Parkside,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,303545,302374,301453,299785,298413,297734,297379,298075,299219,301022,303101,305321,308035,311120,314482,317791,321617,325475,329859,333202,336730,339929,343798,348166,352797,357686,362745,368048,372983,377139,380686,384712,388870,392892,395781,397855,399093,400544,402196,404845,408106,412415,417158,421923,425515,429714,435027,442603,450893,458733,466393,472791,479432,485796,493224,500629,510068,521107,533954,545936,556096,565534,573957,582867,588922,593456,594496,595783,596819,596361,594613,591189,591054,590232,590503,590578,596003,605475,616527,626748,633234,638710,641433,645542,646725,651128,655933,662369,662752,660297,661055,664894,670583,675331,683359,692712,706510,717968,728494,735461,744737,755201,764004,771321,780316,791634,802402,811990,819930,832624,843930,855840,865439,874644,882682,888165,895410,904576,910572,915982,916490,912351,906193,902052,902929,904688,907385,909814,910169,904552,902031,900520,901632,905285,910243,920011,924968,929796,928742,930631,930611,931306,929923,922246,917514,908547,908355,903331,901739,892294,884566,875974,870511,865243,859457,853103,844804,835059,824117,811697,801754,797547,797648,791459,782530,778990,780954,792764,801367,812255,812776,814322,813198,813548,807626,808366,808386,806989,799184,784971,773909,763023,758379,753968,746749,737311,732576,729970,730290,728651,728779,729333,727754,730971,736247,741702,747753,754442,765414,774523,785777,796920,807777,820315,838709,849032,857449,867276,885770,907900,921580,936144,941417,946617,948506,955678,961527,979898,998177,1015982,1023612,1023111,1024330,1019424,1021694,1025528,1041101,1049209,1053095,1050266,1051052,1055517,1057682,1069075,1086424,1112347,1135658,1156251,1165111,1180735,1200805,1214367,1217576,1207786,1208855,1202779,1192255,1179040,1175964,1181388,1194963,1201902,1203659,1203799,1207195,1221100,1239812,1260890,1286914,1309047,1328686,1337177,1345516,1350316,1360694,1374953,1399691,1420067,1429991,1441656,1442393,1447148,1443782,1443141,1436667,1426100,1420232,1411591,1405136,1399040,1407916,1412612,1426050,1429430,1436924,1444587,1452928,1465171,1470288,1474384,1469565,1463041,1446957
268491,565,South of Market,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,265646,265061,264954,264396,264129,264082,264727,266268,268320,270186,271593,273571,276415,280175,282898,286248,289782,293941,297305,299830,301956,305136,309412,313390,316600,319371,323717,327881,331979,335698,339825,344333,349230,353692,358262,362333,366482,370440,374985,379386,384530,389524,395750,401473,407297,413572,421001,430030,439140,448069,458076,468633,479091,488348,497641,508752,521655,534935,547679,560920,573633,584182,588208,590292,589803,589334,586084,580067,571259,561367,552332,540527,530018,519922,514772,510650,511219,514706,519686,525376,530319,534846,536553,539025,539927,543701,547844,552368,551089,547633,545314,545191,545293,545895,549877,556326,565819,573701,580277,585241,592484,601237,610242,618654,629434,641721,653400,663356,671547,683861,695169,708355,719780,731394,742073,750315,759184,767262,772393,776631,778677,775282,770976,766380,767967,769082,768277,766057,762338,758038,755759,755555,756249,761668,767851,777135,779486,781721,783748,788932,792919,793682,794389,788785,783865,772447,767320,761137,761372,755856,748590,740169,734592,731082,725474,718654,712124,704143,695278,682442,669718,660583,654897,645953,634309,626596,622783,628037,630910,637437,636466,637545,635914,636422,633388,635295,637930,639229,638153,631192,626420,620274,619200,619076,618407,614972,613826,613296,613979,612545,610881,611274,611618,617471,623290,629328,634199,642076,654302,667059,681487,697001,710372,722315,737066,741894,750534,757571,775196,792483,804425,816258,821423,824407,827344,836792,845756,863425,874848,887604,892845,893452,896519,894038,897005,902821,919425,928824,933251,939032,950661,965286,970903,983089,999117,1017906,1033559,1044022,1044477,1049393,1059544,1063884,1059933,1046282,1042975,1034294,1021875,1007651,1001531,1000385,1004922,1004322,999984,991422,984742,984554,988520,994029,1000156,1009072,1015658,1018757,1020636,1021173,1021454,1023715,1034320,1046298,1051607,1060673,1063085,1066397,1062318,1060619,1054113,1044549,1044666,1045430,1044029,1037573,1041160,1042502,1049749,1049871,1054875,1058353,1064172,1072777,1073882,1073722,1070395,1068585,1060489
268150,622,Excelsior,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,213651,213245,212938,212102,210988,210397,210162,210834,211578,212557,213143,213632,214406,215741,217219,219080,221865,224570,227422,229532,231913,234367,238148,242390,246430,249509,252714,256268,259631,262262,264752,267244,270192,272823,274541,276308,278457,281472,284132,286855,289798,294056,297959,301755,304718,308902,313989,319774,325784,331528,337697,342800,348804,354225,360743,366586,373653,380281,388342,396062,403182,409741,414696,420157,423493,426337,428382,431503,434629,436572,436048,434808,434839,434774,436847,438743,443504,448942,454626,460392,464716,469801,474493,478758,481719,486596,491861,497794,499617,501846,504103,508602,511864,514505,518561,525595,536173,545852,553680,560399,569586,578916,589346,596203,606766,619165,632634,643113,648184,655369,662130,669964,676464,683294,690861,698111,706545,712966,715995,719378,725864,729663,731769,733814,739486,744137,744367,744461,742023,740068,738983,739199,738026,739629,741212,745497,745463,746994,746816,745378,741064,734536,730211,720315,711267,696469,689606,678754,669655,653162,639665,630872,625877,620321,611137,601670,593635,584807,575389,564632,557073,554409,554080,546930,538590,535106,536565,543395,546580,554310,555303,559860,560427,561156,555068,554484,553409,551468,546131,539467,535068,528628,524856,520679,515212,507574,505671,504882,505338,502391,500724,498902,497787,499850,502666,503757,506240,513255,522158,529873,537902,549700,559907,569365,579607,583146,590009,598847,616285,632756,645692,658866,667305,673639,678969,688659,696013,709880,720079,731648,734517,731990,728339,723885,724890,726816,736237,740063,744794,750900,760951,772387,776476,787053,800964,818844,832701,844459,846825,855684,869052,879336,882781,875563,880336,879230,878495,871906,874448,881362,892571,900025,900932,902465,900923,910986,919852,935470,953017,975501,993474,1003087,1014538,1023589,1034685,1041639,1061821,1077425,1096002,1113403,1127960,1135177,1131944,1134543,1135677,1135600,1134352,1130784,1125370,1122297,1125804,1127182,1129005,1128342,1135642,1141231,1144867,1149811,1154657,1162278,1164593,1164054,1156083
268385,630,Pacific Heights,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,457448,456953,456938,457017,457664,457615,458261,458432,460075,461214,463256,464770,467815,471403,475375,478112,481363,486034,490451,495701,500298,506523,511754,518695,525429,533146,540526,548777,556033,564044,572549,582391,590106,597522,605454,613217,617449,620492,623302,629530,636270,643742,650544,657745,667634,677624,688798,699567,714284,729222,747479,764487,783475,799485,815974,829233,843341,860734,880867,904546,924308,939796,946408,950156,949499,951716,951867,954977,954139,948063,939436,925844,916402,906587,902362,899304,903684,910851,919620,928369,934148,940316,941843,944504,943234,948587,955194,962551,959150,951967,948197,947492,948162,947787,951944,960469,976572,989829,1002120,1009590,1020801,1032030,1040154,1046255,1058091,1075054,1091614,1104132,1112263,1127416,1137871,1152893,1166357,1183678,1203860,1219961,1236689,1249855,1261137,1272995,1281182,1279861,1276446,1272602,1277233,1281206,1281696,1280514,1276811,1272445,1267915,1264175,1261240,1265756,1274040,1288518,1293008,1297362,1298579,1306047,1311359,1316384,1322470,1319017,1314101,1301197,1301052,1298296,1302261,1294196,1282830,1272233,1268347,1261274,1251817,1240479,1238170,1230287,1216573,1195047,1178218,1169540,1170579,1161179,1139907,1126157,1119683,1130450,1131837,1138131,1135095,1136095,1129491,1125958,1113040,1111791,1114197,1116770,1111620,1096781,1082228,1069653,1062631,1061167,1059431,1053891,1052724,1049862,1052551,1052277,1054131,1058185,1065017,1079835,1096006,1105918,1114295,1125016,1142138,1162066,1182447,1203157,1217023,1228922,1247476,1247299,1251679,1255470,1278408,1301937,1320679,1339065,1346896,1347932,1351711,1367778,1382434,1411893,1431682,1455138,1464133,1467616,1472663,1466478,1469557,1480711,1511894,1525834,1531070,1545001,1570540,1599382,1610517,1635191,1663296,1690846,1709683,1724291,1726328,1742195,1764497,1768556,1757038,1734430,1735949,1725084,1714246,1707243,1716297,1723588,1736650,1739987,1741486,1736040,1732803,1739233,1751266,1763496,1757895,1758105,1758939,1771166,1778027,1778705,1778892,1787038,1812569,1835813,1846790,1862983,1905420,1948527,1979335,1983139,1979358,1970454,1977688,1980346,1983663,1977387,1991440,2000195,2000223,1985907,1977501,1983219,1994840,2013065,2017361,2020768,2012822,2010042,1995241
417493,650,Tenderloin,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,220115,217312,215195,212344,210244,209725,207855,207106,206443,208888,211912,213701,213522,214718,217705,220448,222577,223862,228198,231783,234356,232848,231682,234145,241393,247935,252595,254908,258116,260635,262278,265560,272901,280654,285947,289125,290692,294405,298736,304031,310107,314802,320483,320671,318367,316761,320783,325130,327571,328415,330456,335798,339324,346043,351715,362525,373994,385443,393878,402310,412725,419864,423138,423304,426614,428231,429209,425329,420451,413162,408382,403191,402749,400754,402297,400612,399543,399053,397888,400418,401451,406960,408561,410806,405000,404709,403700,408423,407761,406987,408172,410856,414247,412552,413388,415359,425296,432704,439512,440202,444722,448064,452979,457570,464673,475063,484335,495151,502304,512293,520520,532821,544054,559642,571790,579976,587665,597808,605992,609116,608402,605823,604763,605515,609648,608373,605765,600803,597698,592482,588538,583228,578465,577774,579119,580301,576203,575007,576430,583152,586237,586919,589762,594606,599251,596039,592796,591079,592388,589377,581947,573839,570265,565997,559863,548184,542045,536947,534456,526518,518083,510963,508778,503489,494639,489301,487071,494642,496808,499790,493728,491504,492189,496328,496559,498806,500272,501173,498192,492425,489092,485568,486700,487113,483069,476009,469838,467685,467149,464692,462764,460216,457583,459374,462256,463900,465219,468480,477948,482606,488720,496747,505407,512963,521116,524881,532400,541994,557371,571585,577596,586983,591557,595717,598023,604599,611582,618431,620847,622430,624616,624362,628300,628940,632351,635955,646375,651922,655914,663031,673464,684512,686305,695219,704801,718544,730096,740375,741171,746688,752822,757106,754412,750338,753425,749137,746174,737616,738862,737788,744019,743569,743405,738552,735937,733056,733819,735364,733932,734549,732892,733101,732912,735017,737627,743161,753043,761544,762701,766627,771313,778508,779348,776420,772595,764299,762917,758639,753079,748405,752022,756553,761376,760248,763010,767616,771215,777559,777914,779538,779459,778945,774212
268020,852,Bernal Heights,Neighborhood,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,297610,295971,294597,292320,290938,290171,289759,290399,291121,292561,293492,296147,299494,304116,308810,314040,318880,322757,326302,330176,336026,341109,346742,350812,354367,357051,359886,362594,366104,371791,379335,384983,388940,393289,399592,404699,410896,417135,424655,430884,436082,441411,445657,450073,453215,458359,464361,472045,478083,484350,491842,499398,509112,518878,531727,547924,564722,580780,594076,610632,625564,638933,646307,656115,660966,662648,659391,656170,657026,656429,656320,650656,649456,646687,649569,649125,656525,667926,681303,687369,686351,686055,688599,694115,696349,702892,706994,713738,711819,709279,707353,715772,724447,732546,737466,745552,758432,770136,782530,792400,805846,818497,832671,843598,860979,880205,902037,918233,930938,946683,960346,976405,992099,1008355,1023672,1029686,1037572,1043546,1044872,1043649,1037742,1029436,1019307,1010468,1004922,1001600,993728,991966,983730,976368,973461,980106,989353,998724,1006970,1018306,1022637,1024168,1026561,1030665,1038667,1041061,1041928,1029012,1019065,1004912,1000546,991765,991444,982820,972252,960546,947202,937846,926453,919086,912014,901920,894579,881264,866595,857645,856835,851644,845455,843301,845979,856938,862013,871466,866100,868785,869685,874765,869910,873515,876157,876835,868696,854530,846150,838703,839032,838531,837970,833842,831841,822284,816187,813582,818580,821968,818136,822518,830298,838670,840371,843510,855053,879575,903696,916330,921435,929804,955246,967695,977809,983802,1007538,1033101,1052200,1059136,1061791,1071240,1086046,1110545,1124850,1140706,1152791,1168365,1183978,1192780,1204867,1210055,1218971,1230285,1251575,1260426,1261857,1276358,1300296,1331420,1332584,1340692,1350009,1370488,1390631,1405752,1410155,1415788,1432052,1437277,1430521,1403915,1404449,1402466,1403028,1398283,1402067,1405644,1415858,1418799,1421396,1412558,1407013,1413179,1423856,1432984,1435017,1441516,1444728,1452510,1458105,1473812,1480913,1500174,1529709,1564011,1583378,1604573,1615813,1629244,1623958,1620955,1608192,1591865,1584033,1575521,1568847,1553451,1549797,1542279,1550044,1547331,1557492,1562980,1574287,1583638,1590198,1593696,1590592,1589843,1585742
