Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 165, San Francisco County, California",1400000US06075016500,5098,345,4023,329,193,203,29,54,456,146,13,20,189,123,195,131,7,16,188,126
"Census Tract 163, San Francisco County, California",1400000US06075016300,4661,854,2596,475,1164,551,26,39,533,192,0,95,197,156,145,109,0,95,145,109
"Census Tract 164, San Francisco County, California",1400000US06075016400,4134,404,2642,381,679,162,44,47,353,108,0,95,271,150,145,97,4,9,141,96
"Census Tract 166, San Francisco County, California",1400000US06075016600,5109,362,3971,396,380,223,0,95,395,135,108,139,67,59,188,112,33,39,155,105
"Census Tract 167, San Francisco County, California",1400000US06075016700,4957,559,3515,433,474,205,6,12,631,277,0,95,121,96,210,108,47,44,163,97
"Census Tract 168.01, San Francisco County, California",1400000US06075016801,3166,351,1931,390,563,150,52,72,320,199,33,40,98,85,169,97,46,52,123,90
"Census Tract 168.02, San Francisco County, California",1400000US06075016802,3205,349,1856,306,649,253,2,9,427,217,7,15,86,85,178,97,5,9,173,97
"Census Tract 169, San Francisco County, California",1400000US06075016900,3226,209,2539,257,133,78,0,95,335,136,21,36,69,81,129,63,23,28,106,60
"Census Tract 170, San Francisco County, California",1400000US06075017000,3634,317,2901,287,213,125,0,95,313,122,0,95,63,53,144,108,36,51,108,91
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3463,321,2786,331,169,93,0,95,206,91,0,95,44,49,258,156,21,33,237,150
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,3875,289,3134,305,277,154,0,95,169,107,0,95,96,76,199,156,16,27,183,152
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,6682,544,2068,352,1279,338,61,58,2729,395,58,53,315,127,172,95,28,44,144,83
