,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
1,2889,11.1,5.6,10.2,8.6,10.2,8.6,26.9,62.9,83.2,51.9,47.7,21.6,62.9,83.2,51.9,47.7,21.6,62.9,83.2,51.9,47.7,21.6,62.9,83.2,51.9,47.7,21.6,62.9,83.2,51.9,47.7,21.6,15.9,3.2,37,18.6,83.3,55.6,"Census Tract 101, San Francisco County, California",101.0
2,3754,0.7,1.4,0,6.2,0,6.2,13.8,72.3,95.4,91.2,66.7,56.5,72.3,95.4,91.2,66.7,56.5,72.3,95.4,91.2,66.7,56.5,72.3,95.4,91.2,66.7,56.5,72.3,95.4,91.2,66.7,56.5,10.8,3,42.8,35.1,97.9,78,"Census Tract 102, San Francisco County, California",102.0
3,3335,11.3,5,4.7,10.6,4.7,10.6,20.8,74.5,80.4,63,52.5,34.1,74.5,80.4,63,52.5,34.1,74.5,80.4,63,52.5,34.1,74.5,80.4,63,52.5,34.1,74.5,80.4,63,52.5,34.1,9.9,4,34.5,24.8,83.7,59.3,"Census Tract 103, San Francisco County, California",103.0
4,3803,4.5,5.9,10.4,6.9,10.4,6.9,20.8,68.8,91.1,81.7,57.2,42.3,68.8,91.1,81.7,57.2,42.3,68.8,91.1,81.7,57.2,42.3,68.8,91.1,81.7,57.2,42.3,68.8,91.1,81.7,57.2,42.3,10.7,2.4,41.3,28.3,89.6,69.6,"Census Tract 104, San Francisco County, California",104.0
5,2165,0,1,44.2,7.7,44.2,7.7,16.3,39.4,90.6,90,78.5,76.5,39.4,90.6,90,78.5,76.5,39.4,90.6,90,78.5,76.5,39.4,90.6,90,78.5,76.5,39.4,90.6,90,78.5,76.5,7.5,2,37.3,44.5,99,81.8,"Census Tract 105, San Francisco County, California",105.0
6,3263,18.3,13.6,10.5,20.6,10.5,20.6,41.5,33.3,58.3,32.1,27.1,3.3,33.3,58.3,32.1,27.1,3.3,33.3,58.3,32.1,27.1,3.3,33.3,58.3,32.1,27.1,3.3,33.3,58.3,32.1,27.1,3.3,9.9,3.6,25.4,8.6,68.1,34,"Census Tract 106, San Francisco County, California",106.0
7,4519,40.6,10.4,32.8,14.7,32.8,14.7,47.3,6.4,58.4,43.3,14.4,5.2,6.4,58.4,43.3,14.4,5.2,6.4,58.4,43.3,14.4,5.2,6.4,58.4,43.3,14.4,5.2,6.4,58.4,43.3,14.4,5.2,8.4,3.5,16.2,6.2,48.9,22.4,"Census Tract 107, San Francisco County, California",107.0
8,4054,22.9,3.8,5.2,7.3,5.2,7.3,22.7,72.2,77.4,68.3,45.5,35.3,72.2,77.4,68.3,45.5,35.3,72.2,77.4,68.3,45.5,35.3,72.2,77.4,68.3,45.5,35.3,72.2,77.4,68.3,45.5,35.3,7.6,1.8,37.9,18.7,73.3,56.6,"Census Tract 108, San Francisco County, California",108.0
9,3682,6,2.9,4.9,10.1,4.9,10.1,18.5,71.9,87.8,82.7,56.7,32.9,71.9,87.8,82.7,56.7,32.9,71.9,87.8,82.7,56.7,32.9,71.9,87.8,82.7,56.7,32.9,71.9,87.8,82.7,56.7,32.9,8.4,3.7,40.7,28.1,91.1,68.8,"Census Tract 109, San Francisco County, California",109.0
10,4334,16.3,9.3,8.7,18.9,8.7,18.9,36.1,44.1,69.8,51.3,25.9,18.3,44.1,69.8,51.3,25.9,18.3,44.1,69.8,51.3,25.9,18.3,44.1,69.8,51.3,25.9,18.3,44.1,69.8,51.3,25.9,18.3,10.3,3.9,29.9,11.4,74.4,41.3,"Census Tract 110, San Francisco County, California",110.0
11,4051,6,8.2,15.8,15.6,15.8,15.6,35.6,48.6,84.3,61.4,32.6,25.7,48.6,84.3,61.4,32.6,25.7,48.6,84.3,61.4,32.6,25.7,48.6,84.3,61.4,32.6,25.7,48.6,84.3,61.4,32.6,25.7,13.5,5.2,36.7,14.8,85.9,51.5,"Census Tract 111, San Francisco County, California",111.0
12,2839,9.3,4.5,10,6.2,10,6.2,0,90,77.2,75.8,40.3,38.8,90,77.2,75.8,40.3,38.8,90,77.2,75.8,40.3,38.8,90,77.2,75.8,40.3,38.8,90,77.2,75.8,40.3,38.8,19.1,4.7,36.8,19.4,86.3,56.2,"Census Tract 112, San Francisco County, California",112.0
13,2881,43.3,12.4,22.9,14,22.9,14,58.7,3.4,36.2,23.8,7.8,12.2,3.4,36.2,23.8,7.8,12.2,3.4,36.2,23.8,7.8,12.2,3.4,36.2,23.8,7.8,12.2,3.4,36.2,23.8,7.8,12.2,10.7,3.8,13.5,2.4,44.4,15.9,"Census Tract 113, San Francisco County, California",113.0
14,1223,16.1,5.7,29.3,19.1,29.3,19.1,43.1,15.5,52.7,42.9,29.9,20.3,15.5,52.7,42.9,29.9,20.3,15.5,52.7,42.9,29.9,20.3,15.5,52.7,42.9,29.9,20.3,15.5,52.7,42.9,29.9,20.3,15.9,9.3,27.1,6.8,78.2,33.9,"Census Tract 117, San Francisco County, California",117.0
15,1366,37.6,11.1,22.6,25.7,22.6,25.7,36.6,0,30.7,26.4,6.8,2.9,0,30.7,26.4,6.8,2.9,0,30.7,26.4,6.8,2.9,0,30.7,26.4,6.8,2.9,0,30.7,26.4,6.8,2.9,4.9,9.4,9.4,1.9,51.3,11.3,"Census Tract 118, San Francisco County, California",118.0
16,1722,3.3,2.1,50,10.2,50,10.2,27.5,22.5,70,68,51.6,45.7,22.5,70,68,51.6,45.7,22.5,70,68,51.6,45.7,22.5,70,68,51.6,45.7,22.5,70,68,51.6,45.7,12.7,13.6,42.9,15.2,94.7,58.1,"Census Tract 119.01, San Francisco County, California",119.01
17,2272,1.7,3.4,0,20,0,20,64.6,35.4,69.5,42.6,37.2,35.8,35.4,69.5,42.6,37.2,35.8,35.4,69.5,42.6,37.2,35.8,35.4,69.5,42.6,37.2,35.8,35.4,69.5,42.6,37.2,35.8,17.5,5.6,41.7,10,94.9,51.7,"Census Tract 119.02, San Francisco County, California",119.02
18,2845,6.3,7.9,28.8,18.6,28.8,18.6,25.5,45.8,60,50.8,39,11.6,45.8,60,50.8,39,11.6,45.8,60,50.8,39,11.6,45.8,60,50.8,39,11.6,45.8,60,50.8,39,11.6,19.8,2.7,37.5,7.1,85.8,44.7,"Census Tract 120, San Francisco County, California",120.0
19,2415,2.6,2.2,17.7,15.1,17.7,15.1,51.1,31.2,69.9,62.4,37.1,23.7,31.2,69.9,62.4,37.1,23.7,31.2,69.9,62.4,37.1,23.7,31.2,69.9,62.4,37.1,23.7,31.2,69.9,62.4,37.1,23.7,18.9,7.7,40.7,12.8,95.2,53.5,"Census Tract 121, San Francisco County, California",121.0
20,3397,10.5,9.4,33.7,18.6,33.7,18.6,24.7,9.8,45.2,23.1,22.8,14.8,9.8,45.2,23.1,22.8,14.8,9.8,45.2,23.1,22.8,14.8,9.8,45.2,23.1,22.8,14.8,9.8,45.2,23.1,22.8,14.8,21.3,11.7,15.4,13.2,80.2,28.6,"Census Tract 122.01, San Francisco County, California",122.01
21,1821,3.8,11.2,8.3,25.2,8.3,25.2,74.7,12.3,56.9,22.8,16.8,9.5,12.3,56.9,22.8,16.8,9.5,12.3,56.9,22.8,16.8,9.5,12.3,56.9,22.8,16.8,9.5,12.3,56.9,22.8,16.8,9.5,23.8,6,22.1,7.9,85,30,"Census Tract 122.02, San Francisco County, California",122.02
