,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
0,375,108,338,389,133,1002,888,2750,1890,11.6,3.3,10.5,12.0,4.1,31.0,27.5,85.1,58.5,"Census Tract 101, San Francisco County, California",101.0,"POLYGON ((-122.420612315115 37.8111121700604, -122.407452 37.81144099999999, -122.399638840473 37.8065658502084, -122.401787 37.805314, -122.403495 37.805089, -122.405174 37.804763, -122.406625 37.804535, -122.408332 37.804367, -122.411581 37.803963, -122.414877 37.803542, -122.416888 37.805212, -122.418718 37.805932, -122.419224 37.808453, -122.420612315115 37.8111121700604))"
1,0,57,122,326,93,1730,1474,3745,3204,0.0,1.5,3.2,8.6,2.4,45.5,38.8,98.5,84.3,"Census Tract 102, San Francisco County, California",102.0,"POLYGON ((-122.426671 37.809639, -122.424876 37.810799, -122.425041162157 37.811001508766, -122.420612315115 37.8111121700604, -122.419224 37.808453, -122.418718 37.805932, -122.418281 37.804023, -122.417799 37.801267, -122.417587 37.800341, -122.420769 37.79993899999999, -122.420883 37.799902, -122.424275 37.799472, -122.424464 37.800402, -122.424835 37.802268, -122.425209 37.804133, -122.425628 37.806456, -122.426613 37.808152, -122.426671 37.809639))"
2,284,47,253,246,229,1625,973,3326,2598,7.8,1.3,6.9,6.7,6.3,44.4,26.6,90.9,71.0,"Census Tract 103, San Francisco County, California",103.0,"POLYGON ((-122.418718 37.805932, -122.416888 37.805212, -122.414877 37.803542, -122.412908 37.802184, -122.412849 37.801893, -122.412471 37.800032, -122.412283 37.799096, -122.417218 37.798472, -122.417385 37.799414, -122.417587 37.800341, -122.417799 37.801267, -122.418281 37.804023, -122.418718 37.805932))"
3,147,94,218,370,164,1439,1343,3534,2782,3.9,2.5,5.8,9.8,4.3,38.1,35.6,93.6,73.7,"Census Tract 104, San Francisco County, California",104.0,"POLYGON ((-122.414877 37.803542, -122.411581 37.803963, -122.408332 37.804367, -122.406625 37.804535, -122.405174 37.804763, -122.404798 37.802901, -122.40316 37.803098, -122.40279 37.80124199999999, -122.402421 37.799382, -122.405645 37.798969, -122.406024 37.800835, -122.406199 37.80172, -122.40777 37.801571, -122.411019 37.80117, -122.411376 37.801125, -122.412908 37.802184, -122.414877 37.803542))"
4,22,26,187,248,93,902,976,2406,1878,0.9,1.1,7.6,10.1,3.8,36.8,39.8,98.0,76.5,"Census Tract 105, San Francisco County, California",105.0,"POLYGON ((-122.405174 37.804763, -122.403495 37.805089, -122.401787 37.805314, -122.399638840473 37.8065658502084, -122.398139 37.80563, -122.394407919349 37.8012904644048, -122.389708268207 37.7958244063587, -122.391487 37.793859, -122.393181 37.79323, -122.394748 37.79448, -122.396315 37.793337, -122.396586 37.794588, -122.400149 37.794134, -122.400681 37.796777, -122.402041 37.797505, -122.402421 37.799382, -122.40279 37.80124199999999, -122.40316 37.803098, -122.404798 37.802901, -122.405174 37.804763))"
5,480,278,398,263,126,931,466,2184,1397,16.3,9.4,13.5,8.9,4.3,31.6,15.8,74.2,47.5,"Census Tract 106, San Francisco County, California",106.0,"POLYGON ((-122.411019 37.80117, -122.40777 37.801571, -122.406199 37.80172, -122.406024 37.800835, -122.405645 37.798969, -122.402421 37.799382, -122.402041 37.797505, -122.405513 37.797065, -122.406668 37.797865, -122.407083 37.798152, -122.407869 37.798697, -122.409014 37.79949, -122.411376 37.801125, -122.411019 37.80117))"
6,1623,612,892,410,108,765,214,2389,979,35.1,13.2,19.3,8.9,2.3,16.5,4.6,51.7,21.2,"Census Tract 107, San Francisco County, California",107.0,"POLYGON ((-122.412908 37.802184, -122.411376 37.801125, -122.409014 37.79949, -122.407869 37.798697, -122.407083 37.798152, -122.406668 37.797865, -122.405513 37.797065, -122.408431 37.796704, -122.411719 37.796291, -122.411911 37.797245, -122.412283 37.799096, -122.412471 37.800032, -122.412849 37.801893, -122.412908 37.802184))"
7,521,126,364,377,170,1331,1184,3426,2515,12.8,3.1,8.9,9.3,4.2,32.7,29.1,84.1,61.7,"Census Tract 108, San Francisco County, California",108.0,"POLYGON ((-122.417218 37.798472, -122.412283 37.799096, -122.411911 37.797245, -122.411719 37.796291, -122.411364 37.794527, -122.415218 37.79402899999999, -122.416292 37.793892, -122.416473 37.794777, -122.416653 37.79567, -122.416839 37.796596, -122.417218 37.798472))"
8,138,44,400,185,175,1794,1421,3975,3215,3.3,1.1,9.6,4.5,4.2,43.2,34.2,95.6,77.3,"Census Tract 109, San Francisco County, California",109.0,"POLYGON ((-122.424275 37.799472, -122.420883 37.799902, -122.420769 37.79993899999999, -122.417587 37.800341, -122.417385 37.799414, -122.417218 37.798472, -122.416839 37.796596, -122.421768 37.795945, -122.423481 37.795739, -122.423705 37.796678, -122.424275 37.799472))"
9,449,215,364,307,70,1874,1119,3734,2993,10.2,4.9,8.3,7.0,1.6,42.6,25.4,84.9,68.1,"Census Tract 110, San Francisco County, California",110.0,"POLYGON ((-122.423481 37.795739, -122.421768 37.795945, -122.416839 37.796596, -122.416653 37.79567, -122.416473 37.794777, -122.416292 37.793892, -122.416113 37.793014, -122.422801 37.792161, -122.423143 37.793923, -122.423283 37.79481, -122.423481 37.795739))"
