name,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,12/31/18,percent change (2010-2018),geometry
102,1111298,1038390,1191963,1357371,1446584,1648718,1669551,1733896,1832751,64.91985048114907,"POLYGON ((-122.426671 37.809639, -122.424876 37.810799, -122.425041162157 37.811001508766, -122.420612315115 37.8111121700604, -122.419224 37.808453, -122.418718 37.805932, -122.418281 37.804023, -122.417799 37.801267, -122.417587 37.800341, -122.420769 37.79993899999999, -122.420883 37.799902, -122.424275 37.799472, -122.424464 37.800402, -122.424835 37.802268, -122.425209 37.804133, -122.425628 37.806456, -122.426613 37.808152, -122.426671 37.809639))"
103,1111298,1038390,1191963,1357371,1446584,1648718,1669551,1733896,1832751,64.91985048114907,"POLYGON ((-122.418718 37.805932, -122.416888 37.805212, -122.414877 37.803542, -122.412908 37.802184, -122.412849 37.801893, -122.412471 37.800032, -122.412283 37.799096, -122.417218 37.798472, -122.417385 37.799414, -122.417587 37.800341, -122.417799 37.801267, -122.418281 37.804023, -122.418718 37.805932))"
109,1111298,1038390,1191963,1357371,1446584,1648718,1669551,1733896,1832751,64.91985048114907,"POLYGON ((-122.424275 37.799472, -122.420883 37.799902, -122.420769 37.79993899999999, -122.417587 37.800341, -122.417385 37.799414, -122.417218 37.798472, -122.416839 37.796596, -122.421768 37.795945, -122.423481 37.795739, -122.423705 37.796678, -122.424275 37.799472))"
110,1111298,1038390,1191963,1357371,1446584,1648718,1669551,1733896,1832751,64.91985048114907,"POLYGON ((-122.423481 37.795739, -122.421768 37.795945, -122.416839 37.796596, -122.416653 37.79567, -122.416473 37.794777, -122.416292 37.793892, -122.416113 37.793014, -122.422801 37.792161, -122.423143 37.793923, -122.423283 37.79481, -122.423481 37.795739))"
112,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.416292 37.793892, -122.415218 37.79402899999999, -122.411364 37.794527, -122.409722 37.794737, -122.409541 37.793852, -122.409171 37.792043, -122.412461 37.791627, -122.41575 37.791206, -122.415936 37.792133, -122.416113 37.793014, -122.416292 37.793892))"
121,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.415372 37.78932, -122.412076 37.78973999999999, -122.408786 37.79016, -122.408402 37.788293, -122.411699 37.787872, -122.413354 37.787664, -122.414995 37.787454, -122.415185 37.788388, -122.415372 37.78932))"
120,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.422077 37.788474, -122.415372 37.78932, -122.415185 37.788388, -122.414995 37.787454, -122.418271 37.787038, -122.421461 37.786632, -122.421858 37.787535, -122.422077 37.788474))"
119.02,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
111,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.422801 37.792161, -122.416113 37.793014, -122.415936 37.792133, -122.41575 37.791206, -122.415559 37.790254, -122.415372 37.78932, -122.422077 37.788474, -122.422237 37.789399, -122.42242 37.790358, -122.422611 37.791277, -122.422801 37.792161))"
119.01,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
108,937254,905532,1042292,1182235,1310021,1496175,1497246,1582035,1556427,66.0624547881364,"POLYGON ((-122.417218 37.798472, -122.412283 37.799096, -122.411911 37.797245, -122.411719 37.796291, -122.411364 37.794527, -122.415218 37.79402899999999, -122.416292 37.793892, -122.416473 37.794777, -122.416653 37.79567, -122.416839 37.796596, -122.417218 37.798472))"
124.01,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
122.01,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
124.02,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
123.01,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
125.01,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
122.02,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
123.02,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
125.02,492425,460216,512963,604599,651922,746688,743569,735017,764299,55.21125044423009,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
133,1950038,2026860,2375878,2795726,3151676,3425486,3413094,3778602,4444702,127.92899420421551,"POLYGON ((-122.459476 37.789711, -122.45274 37.790974, -122.4463 37.791879, -122.446117 37.790999, -122.445934 37.790119, -122.445758 37.789248, -122.445589 37.788364, -122.445402 37.787438, -122.450118 37.786838, -122.454774 37.786244, -122.45505 37.786209, -122.459179 37.785682, -122.459388 37.788405, -122.459476 37.789711))"
154,1950038,2026860,2375878,2795726,3151676,3425486,3413094,3778602,4444702,127.92899420421551,"POLYGON ((-122.459179 37.785682, -122.45505 37.786209, -122.454774 37.786244, -122.450118 37.786838, -122.445402 37.787438, -122.443753 37.787647, -122.44337 37.785759, -122.443183 37.784827, -122.44281 37.782971, -122.442793 37.782885, -122.445826 37.782512, -122.447302 37.782392, -122.454186 37.781651, -122.456304 37.78144899999999, -122.458878 37.781326, -122.458998 37.783189, -122.459179 37.785682))"
163,774461,735567,857680,999539,1105247,1270619,1303520,1350270,1369865,76.87979123545279,"POLYGON ((-122.433219 37.77749, -122.429929 37.777909, -122.426641 37.778329, -122.426263 37.776464, -122.425888 37.77459899999999, -122.429178 37.774181, -122.430825 37.773973, -122.432467 37.773757, -122.433219 37.77749))"
164,774461,735567,857680,999539,1105247,1270619,1303520,1350270,1369865,76.87979123545279,"POLYGON ((-122.441488 37.776435, -122.438244 37.776848, -122.433219 37.77749, -122.432467 37.773757, -122.435751 37.773346, -122.437469 37.773127, -122.440735 37.772713, -122.440922 37.773635, -122.441488 37.776435))"
168.01,774461,735567,857680,999539,1105247,1270619,1303520,1350270,1369865,76.87979123545279,"POLYGON ((-122.432467 37.773757, -122.430825 37.773973, -122.42899 37.773248, -122.428802 37.772316, -122.425512 37.772734, -122.424929 37.770778, -122.426402 37.769596, -122.42822 37.769441, -122.43157 37.769307, -122.431904 37.770964, -122.432467 37.773757))"
