,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
0,"Census Tract 158.02, San Francisco County, California",85484,86010,33083,-,153250,-,136488,-,57422,86420,-,96845,43750,17000,2013,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
1,"Census Tract 158.02, San Francisco County, California",86176,87679,27500,-,92083,-,"250,000+",55368,57083,89583,13375,112930,36711,18281,2014,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
2,"Census Tract 158.02, San Francisco County, California",65417,71528,33542,-,84659,-,125341,-,50917,79000,52667,71458,80927,34886,2010,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
3,"Census Tract 158.02, San Francisco County, California",74028,78417,33516,-,193088,-,88542,-,52292,78750,13750,83977,51806,28804,2011,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
4,"Census Tract 158.02, San Francisco County, California",74219,79167,33933,-,198816,-,90703,52768,52857,82733,12692,91719,43241,12449,2012,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
5,"Census Tract 158.02, San Francisco County, California",81250,96250,26375,-,124688,-,"250,000+",60662,(X),100156,(X),(X),(X),(X),2015,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
6,"Census Tract 158.02, San Francisco County, California",107143,113667,25217,-,148750,-,"250,000+",60313,-,121250,"250,000+",156667,-,27813,2016,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
7,"Census Tract 158.02, San Francisco County, California",100509,115850,21369,-,151417,-,"250,000+",-,-,116450,"250,000+",158194,41090,-,2017,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
8,"Census Tract 158.02, San Francisco County, California",132540,133992,25833,-,156806,-,-,162857,128875,134536,"250,000+",163802,80139,19423,2018,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
9,"Census Tract 168.01, San Francisco County, California",84082,88082,20192,-,112007,-,-,15417,77917,88147,50733,110106,42132,38333,2013,168.01,"POLYGON ((-122.432467 37.773757, -122.430825 37.773973, -122.42899 37.773248, -122.428802 37.772316, -122.425512 37.772734, -122.424929 37.770778, -122.426402 37.769596, -122.42822 37.769441, -122.43157 37.769307, -122.431904 37.770964, -122.432467 37.773757))"
