,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 101, San Francisco County, California",54095,71875,22609,-,39643,-,164559,70486,71641,74583,58852,78250,38935,12247
1,"Census Tract 102, San Francisco County, California",89096,97841,45365,-,70682,-,-,81000,62375,100476,66639,91742,101173,58304
2,"Census Tract 103, San Francisco County, California",99840,120893,-,-,42083,-,-,-,53393,123942,98883,130750,82500,71518
3,"Census Tract 104, San Francisco County, California",77857,96250,-,-,53750,-,41830,130500,69524,95446,117938,101806,78607,37045
4,"Census Tract 105, San Francisco County, California",117115,126168,-,-,83750,-,106450,130875,106550,125761,54306,116571,134868,108194
5,"Census Tract 106, San Francisco County, California",27611,62054,116731,-,20562,-,62656,10833,16887,77321,19479,82625,20331,18750
6,"Census Tract 107, San Francisco County, California",22828,75577,162594,39808,14671,-,-,-,22768,79167,56875,44196,26382,12343
7,"Census Tract 108, San Francisco County, California",76147,101458,-,-,39639,-,-,67284,-,100208,26250,109280,60486,32422
8,"Census Tract 109, San Francisco County, California",94063,113401,-,92688,25060,-,"2,500-",103750,51382,114128,56667,111821,93519,15763
9,"Census Tract 110, San Francisco County, California",53542,78913,53235,-,40908,-,132542,16750,53946,79185,77417,78792,47384,21174
