,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 451, San Francisco County, California",82755,91494,(X),-,42792,-,-,-,(X),96685,"2,500-",96168,84519,27244
1,"Census Tract 452, San Francisco County, California",72431,102741,-,-,37112,-,-,91200,105417,103355,(X),(X),(X),(X)
2,"Census Tract 476, San Francisco County, California",74392,81000,-,-,73988,-,-,-,108056,74608,41441,104239,69079,65417
3,"Census Tract 477.01, San Francisco County, California",74412,81331,25625,-,66859,-,-,84250,(X),81935,89750,112826,69219,33333
4,"Census Tract 477.02, San Francisco County, California",72930,60917,-,-,77135,-,-,-,98264,56910,45625,83333,88289,53239
5,"Census Tract 478.01, San Francisco County, California",79130,79766,103229,-,85958,-,-,(X),20500,83828,21250,87065,113500,52339
6,"Census Tract 478.02, San Francisco County, California",68333,61250,-,-,70231,-,95357,48500,48625,63182,22446,60521,80698,58167
7,"Census Tract 479.01, San Francisco County, California",66437,60553,65750,-,80082,-,-,(X),(X),75625,20221,76130,80337,51250
8,"Census Tract 479.02, San Francisco County, California",73625,73095,-,-,90714,-,(X),(X),72396,73095,(X),(X),(X),(X)
9,"Census Tract 601, San Francisco County, California",164179,163643,-,-,237292,-,-,-,(X),164821,(X),(X),(X),(X)
10,"Census Tract 604, San Francisco County, California",52833,39145,71250,-,43864,-,98571,93194,92639,37131,"2,500-",70486,69398,26210
11,"Census Tract 605.02, San Francisco County, California",23072,17411,9955,-,48333,23063,34063,(X),26042,16625,-,25919,23142,17917
12,"Census Tract 607, San Francisco County, California",107798,125714,(X),-,106674,-,65941,(X),65985,124740,(X),(X),(X),(X)
13,"Census Tract 610, San Francisco County, California",108977,126019,(X),-,100250,-,97250,99665,99573,125093,(X),(X),(X),(X)
14,"Census Tract 611, San Francisco County, California",16545,(X),-,-,16728,-,-,(X),-,(X),"250,000+",26250,19063,12350
15,"Census Tract 612, San Francisco County, California",51649,51726,39196,-,61563,-,60366,63750,49514,57222,(X),(X),(X),(X)
16,"Census Tract 614, San Francisco County, California",138897,155625,-,-,123977,-,(X),140833,(X),166875,-,139643,153438,67708
17,"Census Tract 615, San Francisco County, California",127080,125444,-,-,141219,-,-,(X),(X),147540,(X),(X),(X),(X)
18,"Census Tract 9802, San Francisco County, California",145000,134688,-,-,181500,-,-,-,-,134688,(X),(X),(X),(X)
19,"Census Tract 9803, San Francisco County, California",125750,126167,-,-,-,-,-,-,-,126167,-,125333,-,-
20,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"Census Tract 9805.01, San Francisco County, California",16638,25250,(X),-,15469,-,-,-,40250,(X),(X),(X),(X),(X)
22,"Census Tract 9806, San Francisco County, California",(X),106750,27250,-,(X),-,-,-,(X),150000,(X),(X),(X),(X)
23,"Census Tract 9809, San Francisco County, California",94000,140313,11181,-,126250,-,-,-,"2,500-",141875,(X),(X),(X),(X)
24,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
