,Geographic Area Name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  White,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Black or African American,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  American Indian and Alaska Native,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Asian,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Native Hawaiian and Other Pacific Islander,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Some other race,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Two or more races,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Hispanic or Latino origin (of any race),"Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  White alone, not Hispanic or Latino",Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 120, San Francisco County, California",39957,49810,-,-,36667,-,48814,-,49808,50536,-,49621,47717,19286
1,"Census Tract 127, San Francisco County, California",129300,130625,-,-,-,-,-,-,-,135304,-,145769,146442,62413
2,"Census Tract 132, San Francisco County, California",142650,145781,-,-,133906,-,-,-,-,146797,-,165909,133010,170446
3,"Census Tract 133, San Francisco County, California",144875,151111,-,-,138237,-,-,-,120455,154833,-,162361,210417,72188
4,"Census Tract 135, San Francisco County, California",125804,131389,-,-,122375,-,132868,-,133375,130139,123125,127354,152750,103194
5,"Census Tract 153, San Francisco County, California",120833,126146,61083,-,132500,-,-,146964,188036,124211,99091,140500,138750,60583
6,"Census Tract 167, San Francisco County, California",159634,165042,-,-,186518,-,-,132619,130268,168750,-,168512,132206,-
7,"Census Tract 202, San Francisco County, California",77368,82350,-,-,76382,-,34239,180769,41290,97660,216607,117644,33625,23459
8,"Census Tract 205, San Francisco County, California",130000,131063,61125,-,150375,-,-,153864,-,136250,-,202125,123081,64333
9,"Census Tract 210, San Francisco County, California",113250,112875,-,-,"250,000+",-,-,110347,91771,122803,-,155469,107045,-
10,"Census Tract 230.01, San Francisco County, California",64527,86324,38664,-,65476,-,-,-,85809,84667,-,100417,62905,44306
11,"Census Tract 352.02, San Francisco County, California",83977,85484,-,-,88047,-,118409,-,67727,88750,-,98615,69566,49224
12,"Census Tract 427, San Francisco County, California",66595,65948,-,-,78036,-,-,22969,-,80030,-,110208,62308,32349
13,"Census Tract 601, San Francisco County, California",195375,208209,-,-,-,-,70958,103393,85268,212536,129500,200682,208074,-
14,"Census Tract 314, San Francisco County, California",64282,62277,-,-,68707,-,81442,112566,67188,69167,59732,67283,80813,48125
15,"Census Tract 401, San Francisco County, California",96875,109286,-,-,64844,-,-,180114,135368,104306,-,116750,82292,50875
16,"Census Tract 232, San Francisco County, California",54375,104750,41618,-,72969,-,71507,-,79185,102813,-,62356,73295,27917
17,"Census Tract 301.02, San Francisco County, California",123333,131328,-,-,107917,-,-,-,130969,127196,-,138839,182696,62331
18,"Census Tract 327, San Francisco County, California",111114,133627,-,-,98696,-,-,119423,112244,133819,-,121086,135000,68688
19,"Census Tract 352.01, San Francisco County, California",92719,103631,-,-,83478,-,-,-,-,104196,93056,109485,104306,55682
20,"Census Tract 354, San Francisco County, California",97689,83672,114333,-,87663,-,-,205739,-,83672,-,126368,113058,64038
21,"Census Tract 159, San Francisco County, California",62731,93571,-,-,54122,-,-,-,75339,94643,"2,500-",98304,64527,27037
22,"Census Tract 160, San Francisco County, California",63808,100703,-,-,52917,-,-,-,14707,101250,"250,000+",108150,62548,23929
23,"Census Tract 105, San Francisco County, California",108063,115515,-,-,81250,-,-,147188,-,116397,"2,500-",107614,170114,72375
24,"Census Tract 113, San Francisco County, California",37159,98864,-,-,20673,-,-,83707,-,98864,-,84957,53158,15703
25,"Census Tract 152, San Francisco County, California",87969,85938,-,-,167600,-,-,-,196923,83717,-,157461,90833,30485
26,"Census Tract 177, San Francisco County, California",104375,98750,84286,-,-,-,-,97266,71094,103125,-,103750,106364,-
27,"Census Tract 227.02, San Francisco County, California",176944,186875,-,-,165156,-,"250,000+",-,143750,189286,76458,184833,208571,95000
28,"Census Tract 228.01, San Francisco County, California",127143,156302,-,-,158026,-,-,-,51974,167625,"250,000+",165208,88864,54598
29,"Census Tract 231.03, San Francisco County, California",21415,62399,20475,-,-,-,-,-,20551,62399,-,18417,31250,19648
30,"Census Tract 259, San Francisco County, California",101935,87804,45781,-,111923,-,-,110787,110694,87939,-,113750,115694,50000
31,"Census Tract 260.03, San Francisco County, California",62563,85000,-,-,50859,-,97222,-,94583,117917,-,-,92845,43021
32,"Census Tract 260.04, San Francisco County, California",86192,123333,-,-,91250,-,45163,-,64107,102500,-,88750,115000,51058
33,"Census Tract 301.01, San Francisco County, California",117668,119447,-,-,145625,-,102594,54417,104552,118197,-,124188,147917,49167
34,"Census Tract 330, San Francisco County, California",96818,97574,-,-,117750,-,-,69375,63523,99375,-,120109,137642,69231
35,"Census Tract 254.03, San Francisco County, California",94135,122667,-,-,108611,-,-,-,70888,127566,-,127875,103194,58125
36,"Census Tract 264.01, San Francisco County, California",59453,53611,47778,-,60806,-,-,50938,74375,54028,-,72757,78611,32841
37,"Census Tract 302.02, San Francisco County, California",114535,115938,-,-,137935,-,-,87990,115362,111346,-,125603,97337,56000
38,"Census Tract 353, San Francisco County, California",81748,79464,-,-,95476,-,-,-,-,80833,-,111750,105724,60742
39,"Census Tract 476, San Francisco County, California",89031,102472,-,-,83250,-,-,-,-,105078,120959,100912,129018,66161
40,"Census Tract 106, San Francisco County, California",37000,86806,-,-,25989,-,-,-,-,86528,-,127115,27798,18902
41,"Census Tract 610, San Francisco County, California",101977,133333,53472,-,90139,-,103672,101341,101659,133333,90694,117031,79028,94063
42,"Census Tract 203, San Francisco County, California",123099,128000,-,-,145804,-,-,99167,-,130848,163359,165370,100189,42875
43,"Census Tract 207, San Francisco County, California",153912,176250,-,-,146050,-,-,-,49402,186125,-,175938,153539,38558
44,"Census Tract 208, San Francisco County, California",84833,91114,-,138360,108636,-,43021,163088,41886,141648,-,134129,66970,27879
45,"Census Tract 211, San Francisco County, California",153750,151628,-,-,"250,000+",-,-,157031,117500,152355,216429,176029,188098,83594
46,"Census Tract 212, San Francisco County, California",154632,166563,-,-,142625,-,-,161429,-,166667,118194,189333,180938,90250
47,"Census Tract 213, San Francisco County, California",156912,153056,-,-,"250,000+",-,-,150455,-,154722,-,196364,148864,82632
48,"Census Tract 107, San Francisco County, California",27786,88188,-,-,23021,-,-,-,87902,74806,-,58235,25840,18523
49,"Census Tract 162, San Francisco County, California",88611,77365,-,-,158281,-,112902,-,50104,83681,34052,156165,51087,-
50,"Census Tract 169, San Francisco County, California",104570,106250,-,-,101250,-,-,127031,103393,115563,-,170938,98036,66250
51,"Census Tract 252, San Francisco County, California",133310,127847,-,-,"250,000+",-,-,-,64762,141364,-,185754,137303,57857
52,"Census Tract 101, San Francisco County, California",81509,102788,10774,-,-,-,-,-,-,102404,-,115563,76450,20407
53,"Census Tract 112, San Francisco County, California",103750,119844,-,-,64063,-,-,175250,-,119010,111136,144259,70875,62917
54,"Census Tract 134, San Francisco County, California",152417,152167,18958,-,202026,-,-,"250,000+",-,154519,-,189853,142083,55673
55,"Census Tract 151, San Francisco County, California",97059,106801,-,-,74896,-,69213,150139,69954,102431,-,127120,81341,60156
56,"Census Tract 332.04, San Francisco County, California",59125,60298,64500,-,63047,-,43214,-,42798,60282,-,86042,72500,27059
57,"Census Tract 332.03, San Francisco County, California",50360,51382,74071,-,35707,-,77716,-,66125,51375,-,43750,73137,34821
58,"Census Tract 329.02, San Francisco County, California",93613,109531,-,-,88667,-,-,92841,168393,96667,-,122917,109821,55404
59,"Census Tract 329.01, San Francisco County, California",98023,98942,-,-,107679,-,-,-,62813,110179,-,185592,139259,58177
60,"Census Tract 328.02, San Francisco County, California",90700,80500,-,-,107404,-,-,-,42917,88056,-,146518,112917,52721
61,"Census Tract 328.01, San Francisco County, California",110255,110861,-,-,122944,-,-,47708,79758,112574,-,129119,79477,58958
62,"Census Tract 326.02, San Francisco County, California",91433,84444,-,-,90823,-,145648,161406,-,83819,-,104141,125114,54000
63,"Census Tract 326.01, San Francisco County, California",100240,102101,-,-,95000,-,-,73618,95547,102409,-,113811,101411,67000
64,"Census Tract 313.02, San Francisco County, California",78548,87109,37113,-,88003,-,61250,59113,73696,104625,59113,88512,88875,45000
65,"Census Tract 313.01, San Francisco County, California",97866,143750,43777,-,84457,-,-,156563,147731,138750,-,136563,87303,72045
66,"Census Tract 312.02, San Francisco County, California",77267,131500,84167,-,75125,-,54514,160000,75855,129000,-,78472,76758,82083
67,"Census Tract 312.01, San Francisco County, California",81443,110214,69107,-,79659,-,60541,-,67031,113542,48125,81798,102813,36250
68,"Census Tract 257.02, San Francisco County, California",63311,58750,-,-,75139,-,48929,-,48988,61875,6000,64909,83646,53243
69,"Census Tract 257.01, San Francisco County, California",95669,78438,-,-,114048,-,81815,-,82137,78906,-,139083,85833,42708
70,"Census Tract 227.04, San Francisco County, California",176667,182411,-,-,134063,-,-,175000,172813,181161,110625,215972,205625,88056
71,"Census Tract 204.02, San Francisco County, California",105161,105399,-,-,107083,-,-,-,132625,100078,-,141397,105208,89531
72,"Census Tract 204.01, San Francisco County, California",156161,150673,-,-,155515,-,-,204519,148417,152308,140469,186500,157969,65179
73,"Census Tract 178.02, San Francisco County, California",73966,106509,-,-,84605,-,30000,201083,40571,116250,-,114531,46802,11645
74,"Census Tract 178.01, San Francisco County, California",18930,158750,10000,-,15278,-,-,-,-,175093,-,159926,-,11854
75,"Census Tract 171.02, San Francisco County, California",129792,132500,-,-,133750,-,-,-,-,135114,-,163250,118750,115625
76,"Census Tract 171.01, San Francisco County, California",155278,152917,-,-,207656,-,-,-,-,153333,-,173309,171528,68929
77,"Census Tract 168.02, San Francisco County, California",83672,91110,13906,-,113021,-,54453,-,54141,91643,66125,137180,70136,22679
78,"Census Tract 168.01, San Francisco County, California",103730,106850,21333,-,115078,-,-,92396,105227,104980,-,119833,63587,28472
79,"Census Tract 158.02, San Francisco County, California",100509,115850,21369,-,151417,-,"250,000+",-,-,116450,"250,000+",158194,41090,-
80,"Census Tract 158.01, San Francisco County, California",66603,121250,26411,-,-,-,-,-,-,121806,49688,120486,44167,35833
81,"Census Tract 131.02, San Francisco County, California",150643,170662,-,-,116336,-,-,165278,170625,169000,-,167022,129083,60781
82,"Census Tract 131.01, San Francisco County, California",130927,147313,-,-,135667,-,-,80938,-,151071,83942,163008,123611,40924
83,"Census Tract 129.02, San Francisco County, California",120190,117833,-,-,121176,-,-,-,170449,116583,129643,129904,109464,68125
84,"Census Tract 125.01, San Francisco County, California",21412,20498,10208,-,24649,-,25712,-,22396,20253,-,25096,20287,18845
85,"Census Tract 9803, San Francisco County, California",131333,131750,-,-,-,-,-,-,-,131750,-,132167,-,-
86,"Census Tract 614, San Francisco County, California",125234,154784,12461,-,130200,-,19727,-,30240,155231,-,148906,123500,53542
