,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year
0,"Census Tract 101, San Francisco County, California",67377,98185,-,-,-,-,-,-,-,98629,-,119044,58167,20179,2018
1,"Census Tract 102, San Francisco County, California",134176,147969,-,-,112039,-,-,141198,-,147938,-,160441,165938,66654,2018
2,"Census Tract 103, San Francisco County, California",138630,151750,-,-,43611,-,-,-,144750,158350,-,162946,119565,76781,2018
3,"Census Tract 104, San Francisco County, California",111105,107961,-,-,116652,-,-,-,-,108509,-,163521,98671,52188,2018
4,"Census Tract 105, San Francisco County, California",125511,136985,-,-,82778,-,-,164911,-,141607,"2,500-",117763,173500,77440,2018
5,"Census Tract 106, San Francisco County, California",40380,88581,-,-,28393,-,-,-,-,88041,-,135272,31420,19162,2018
6,"Census Tract 107, San Francisco County, California",25502,73964,-,-,22521,-,-,-,-,72714,35625,48811,27066,16950,2018
7,"Census Tract 108, San Francisco County, California",102243,135481,-,-,72875,-,-,102083,170833,124333,136635,166346,101173,63583,2018
8,"Census Tract 109, San Francisco County, California",145417,170743,-,-,-,-,-,-,-,171385,76964,174125,128239,56778,2018
9,"Census Tract 110, San Francisco County, California",121299,170598,-,-,82257,-,-,-,95758,179565,-,186523,-,-,2018
10,"Census Tract 111, San Francisco County, California",105561,113796,170556,-,55232,-,-,159348,129931,113148,142813,139474,55911,27197,2018
11,"Census Tract 112, San Francisco County, California",113214,128500,"250,000+",-,62305,-,-,132222,110329,128750,113182,147188,80114,83750,2018
12,"Census Tract 113, San Francisco County, California",37991,91250,-,-,21439,-,-,86288,-,96667,-,95139,52404,14962,2018
13,"Census Tract 117, San Francisco County, California",63958,89722,-,-,53750,-,38571,-,49028,93988,-,74972,47292,-,2018
14,"Census Tract 118, San Francisco County, California",29338,135417,-,-,24643,-,-,126875,-,136875,-,96071,24464,18587,2018
15,"Census Tract 119.01, San Francisco County, California",97109,96250,-,-,123375,-,-,-,95052,92639,-,126047,73500,47875,2018
16,"Census Tract 119.02, San Francisco County, California",84167,81131,-,-,105175,-,66667,110000,66528,82639,87813,96250,92823,29722,2018
17,"Census Tract 120, San Francisco County, California",48113,50326,43480,-,41705,-,-,-,49440,50942,-,49914,51380,-,2018
18,"Census Tract 121, San Francisco County, California",72806,74297,-,-,75469,-,-,-,-,74414,40096,84318,65789,29282,2018
19,"Census Tract 122.01, San Francisco County, California",66563,64500,-,-,-,-,99607,-,89052,68526,14099,94759,43971,20867,2018
