name,2010,2011,2012,2013,2014,2015,2016,2017,2018
101,286380.985628423,340047.7028841541,174330.42336353523,42884.87178630022,-34944.39937950629,-152797.4604718234,-162664.52392234033,-243689.5185416091,-249548.0813471338
102,337158.42629842757,409680.567794257,255869.2224495739,90471.44189355228,1324.8036091207732,-201009.80514157692,-221498.66902289452,-286422.78454460716,-385573.2033358529
103,336431.5090403413,409314.01864673384,256093.53433284734,90736.85299460086,1622.9694786725483,-200354.08627987336,-221530.60072483518,-286436.7167848862,-385877.48070360144
104,286743.04290104524,339929.40617577924,174926.24209898224,43033.491709507674,-34897.12697255053,-153124.5650605253,-163017.4653149939,-243573.4371051504,-250019.58843209484
105,219629.24239937193,281171.66020570847,85895.20923150335,-17394.332622171558,-70274.50682182948,-156967.56387566956,-99170.90262605829,-113929.83072995706,-128958.97516089781
106,286280.0530911178,340159.65318776417,174117.17477860325,42728.95329798652,-34531.46654676523,-152916.06632680903,-162881.01478951637,-243322.03399607918,-249635.25269630252
107,251203.84478402376,312568.81208743685,161979.09869363566,18155.48881896113,-71518.46755533235,-164457.24989772445,-115713.18724489311,-161167.60933978198,-231050.73034632593
108,341683.3697231124,373257.83436193364,236841.9987011226,96692.53414459336,-31049.791790385465,-217241.1968999663,-218621.57681067497,-303543.7439974249,-278019.42743230937
109,337064.97117622226,409509.7716161481,255797.18590395316,90577.29525146044,1423.4864239273386,-200683.1625042966,-221665.91755604584,-286160.26511490345,-385863.36519646534
110,338611.94806602324,410872.4912263347,257581.55583565508,91694.24667418515,953.761978675721,-201671.05325952912,-223009.14458169113,-289045.533012449,-385988.2729272047
111,342368.6276733161,373365.5131292886,236745.65693091563,97087.6192085049,-30548.233174828707,-216913.91517853728,-218711.6483721969,-304322.5317602719,-279071.08845618943
112,341834.63670259266,373417.06730002305,236613.39549862646,96846.11285082632,-30552.466007364914,-216855.49620984975,-218906.8432419313,-303772.263764266,-278624.1431286557
113,251345.3690576762,312620.3080703907,162031.62913214456,18221.08038282446,-71494.85742360076,-164363.7106061373,-115629.61225322433,-161422.13094469736,-231308.0754153767
117,220195.63803292345,281382.820762744,86271.35927800673,-17016.616977543326,-70018.7783305429,-156367.13233520524,-99677.30062951248,-114494.44480321975,-130275.54499765065
118,251201.62055560466,312577.2962840728,161970.68046274994,18160.723773614314,-71527.9063571129,-164470.82228387537,-115725.21509445405,-161153.9172764815,-231032.46006411855
119.01,341822.50277821167,373391.62383165344,236636.68333343582,96719.31695709932,-30967.264869792107,-217031.33071981798,-218585.63854151312,-303297.0683148256,-278688.8244544506
119.02,341699.3192301413,373586.6407935618,237003.1102780963,96996.272544257,-30963.209137696977,-217266.0357584237,-218735.19832801467,-303961.99882194225,-278358.900799978
120,341574.90395197447,373267.65736828645,236508.67421442567,96589.10003514674,-31197.68576455048,-217370.3954143607,-218424.12477379545,-303236.3829194441,-277711.74669768155
121,342201.3572321542,373524.6182423808,236653.16165639038,96490.34351106727,-31019.514693519486,-217161.0998218425,-218324.82249534916,-303988.1620232825,-278375.8816079982
