,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households
526,06,075,010200,1400000US06075010200,06075010200,102,CT,515958,295388,"POLYGON ((-122.426671 37.809639, -122.424876 37.810799, -122.425041162157 37.811001508766, -122.420612315115 37.8111121700604, -122.419224 37.808453, -122.418718 37.805932, -122.418281 37.804023, -122.417799 37.801267, -122.417587 37.800341, -122.420769 37.79993899999999, -122.420883 37.799902, -122.424275 37.799472, -122.424464 37.800402, -122.424835 37.802268, -122.425209 37.804133, -122.425628 37.806456, -122.426613 37.808152, -122.426671 37.809639))",102a,134176
527,06,075,011200,1400000US06075011200,06075011200,112,CT,177414,0,"POLYGON ((-122.416292 37.793892, -122.415218 37.79402899999999, -122.411364 37.794527, -122.409722 37.794737, -122.409541 37.793852, -122.409171 37.792043, -122.412461 37.791627, -122.41575 37.791206, -122.415936 37.792133, -122.416113 37.793014, -122.416292 37.793892))",112a,113214
528,06,075,012401,1400000US06075012401,06075012401,124.01,CT,91972,0,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))",124.01a,24511
529,06,075,013300,1400000US06075013300,06075013300,133,CT,581310,0,"POLYGON ((-122.459476 37.789711, -122.45274 37.790974, -122.4463 37.791879, -122.446117 37.790999, -122.445934 37.790119, -122.445758 37.789248, -122.445589 37.788364, -122.445402 37.787438, -122.450118 37.786838, -122.454774 37.786244, -122.45505 37.786209, -122.459179 37.785682, -122.459388 37.788405, -122.459476 37.789711))",133a,162500
530,06,075,015400,1400000US06075015400,06075015400,154,CT,719491,0,"POLYGON ((-122.459179 37.785682, -122.45505 37.786209, -122.454774 37.786244, -122.450118 37.786838, -122.445402 37.787438, -122.443753 37.787647, -122.44337 37.785759, -122.443183 37.784827, -122.44281 37.782971, -122.442793 37.782885, -122.445826 37.782512, -122.447302 37.782392, -122.454186 37.781651, -122.456304 37.78144899999999, -122.458878 37.781326, -122.458998 37.783189, -122.459179 37.785682))",154a,125651
531,06,075,016300,1400000US06075016300,06075016300,163,CT,245866,0,"POLYGON ((-122.433219 37.77749, -122.429929 37.777909, -122.426641 37.778329, -122.426263 37.776464, -122.425888 37.77459899999999, -122.429178 37.774181, -122.430825 37.773973, -122.432467 37.773757, -122.433219 37.77749))",163a,148365
532,06,075,017801,1400000US06075017801,06075017801,178.01,CT,214052,0,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))",178.01a,22450
533,06,075,020800,1400000US06075020800,06075020800,208,CT,346098,0,"POLYGON ((-122.421732 37.7633, -122.417332 37.763572, -122.417179 37.761968, -122.417026 37.760367, -122.416872 37.758764, -122.41672 37.757167, -122.416567 37.755568, -122.418748 37.755437, -122.420964 37.755295, -122.421118 37.756902, -122.421425 37.760101, -122.421578 37.761701, -122.421732 37.7633))",208a,103134
534,06,075,022704,1400000US06075022704,06075022704,227.04,CT,544609,0,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))",227.04a,185345
535,06,075,023300,1400000US06075023300,06075023300,233,CT,635979,0,"POLYGON ((-122.402105 37.72779, -122.399867 37.730292, -122.396409 37.72980099999999, -122.392699 37.729284, -122.393284 37.727764, -122.396682 37.720266, -122.397025 37.719515, -122.398515 37.717664, -122.398863 37.718683, -122.400785 37.723616, -122.401183 37.724588, -122.402105 37.72779))",233a,58125
536,06,075,025800,1400000US06075025800,06075025800,258,CT,241710,0,"POLYGON ((-122.405572 37.724461, -122.4026 37.725235, -122.402061 37.72392, -122.400785 37.723616, -122.398863 37.718683, -122.399615 37.716278, -122.400435 37.719162, -122.402103 37.718721, -122.403078 37.72113, -122.404059 37.720864, -122.405572 37.724461))",258a,91250
537,06,075,030202,1400000US06075030202,06075030202,302.02,CT,355664,0,"POLYGON ((-122.47073 37.76577899999999, -122.464297 37.765963, -122.464172 37.764131, -122.464042 37.762269, -122.463912 37.760405, -122.469263 37.760171, -122.470335 37.760124, -122.470468 37.762027, -122.470595 37.763849, -122.47073 37.76577899999999))",302.02a,123139
538,06,075,031400,1400000US06075031400,06075031400,314,CT,770543,0,"POLYGON ((-122.46264 37.717936, -122.462245 37.71822, -122.459187 37.71823, -122.456108 37.718235, -122.454189 37.718239, -122.453378 37.717768, -122.451895 37.716978, -122.450378 37.716169, -122.448582 37.718411, -122.448727 37.71745, -122.449627 37.715739, -122.452884 37.712829, -122.455028 37.711317, -122.455619 37.711066, -122.456376 37.710825, -122.457312 37.710648, -122.460858 37.710586, -122.462556 37.711254, -122.462569 37.71315, -122.462602 37.714308, -122.462615 37.715619, -122.46264 37.717936))",314a,73750
539,06,075,040200,1400000US06075040200,06075040200,402,CT,531470,0,"POLYGON ((-122.472583 37.786317, -122.472352 37.787234, -122.470912 37.787221, -122.466924 37.788132, -122.464781 37.788564, -122.464551 37.784792, -122.464284 37.781089, -122.466432 37.78099, -122.467492 37.780938, -122.472264 37.780747, -122.472379 37.782581, -122.472516 37.784453, -122.472583 37.786317))",402a,105507
540,06,075,045100,1400000US06075045100,06075045100,451,CT,384459,0,"POLYGON ((-122.464284 37.781089, -122.461068 37.781227, -122.458878 37.781326, -122.458505 37.77619, -122.458371 37.774309, -122.460553 37.774031, -122.463749 37.773624, -122.464011 37.777235, -122.464284 37.781089))",451a,116429
627,06,075,031201,1400000US06075031201,06075031201,312.01,CT,512112,0,"POLYGON ((-122.462265 37.721748, -122.462199 37.725293, -122.461202 37.724974, -122.459213 37.724563, -122.458191 37.72434399999999, -122.453105 37.723206, -122.452335 37.72318, -122.451596 37.723033, -122.449546 37.723011, -122.451646 37.719686, -122.452506 37.72003, -122.459198 37.720024, -122.459187 37.71823, -122.462245 37.71822, -122.462265 37.721748))",312.01a,83381
672,06,075,023400,1400000US06075023400,06075023400,234,CT,854096,0,"POLYGON ((-122.396682 37.720266, -122.393284 37.727764, -122.389801 37.725791, -122.38793 37.724729, -122.38521 37.723088, -122.384517 37.722862, -122.38282 37.721872, -122.386265 37.717179, -122.38685 37.717509, -122.388131 37.71629799999999, -122.391141 37.71803999999999, -122.393545 37.718487, -122.396682 37.720266))",234a,41724
